מרחב,עיר
1,"אודם, ישראל"
1,"אל רום, ישראל"
1,"בוקעתא, ישראל"
1,"מג'דל שמס, ישראל"
1,"מסעדה, ישראל"
1,"נווה אטי''ב, ישראל"
1,"נמרוד, ישראל"
1,"עין קנייא, ישראל"
2,"אבני איתן, ישראל"
2,"אזור תעשייה בני יהודה, ישראל"
2,"אלי עד, ישראל"
2,"אפיק, ישראל"
2,"בני יהודה, ישראל"
2,"גבעת יואב, ישראל"
2,"גשור, ישראל"
2,"חמת גדר, ישראל"
2,"חספין, ישראל"
2,"כפר חרוב, ישראל"
2,"מבוא חמה, ישראל"
2,"מיצר, ישראל"
2,"נאות גולן, ישראל"
2,"נוב, ישראל"
2,"נטור, ישראל"
2,"רמת מגשימים, ישראל"
3,"אורטל, ישראל"
3,"אלוני הבשן, ישראל"
3,"יונתן, ישראל"
3,"מרום גולן, ישראל"
3,"עין זיוון, ישראל"
3,"קשת, ישראל"
7,"א סלבה, ישראל"
7,"אניעם, ישראל"
7,"חד נס, ישראל"
7,"כנף, ישראל"
7,"מעלה גמלא, ישראל"
7,"קדמת צבי, ישראל"
7,"קלע, ישראל"
7,"קצרין, ישראל"
7,"שעל, ישראל"
10,"האון, ישראל"
10,"מסדה, ישראל"
10,"מעגן, ישראל"
10,"עין גב, ישראל"
10,"רמות, ישראל"
10,"שער הגולן, ישראל"
10,"תל קציר, ישראל"
14,"בצת, ישראל"
14,"כפר ראש הנקרה, ישראל"
14,"לימן, ישראל"
14,"מצובה, ישראל"
14,"שלומי, ישראל"
15,"א נוואקיר, ישראל"
15,"אדמית, ישראל"
15,"אידמית, ישראל"
15,"אילון, ישראל"
15,"ג'ורדיח, ישראל"
15,"גורן, ישראל"
15,"גורנות הגליל, ישראל"
15,"חניתה, ישראל"
15,"יערה, ישראל"
15,"עראמשה, ישראל"
16,"אבן מנחם, ישראל"
16,"זרעית, ישראל"
16,"שומרה, ישראל"
16,"שתולה, ישראל"
17,"אבירים, ישראל"
17,"אלקוש, ישראל"
17,"נטועה, ישראל"
17,"פסוטה, ישראל"
19,"דוב''ב, ישראל"
19,"מתת, ישראל"
19,"סאסא, ישראל"
20,"חורפיש, ישראל"
20,"פקיעין, ישראל"
20,"פקיעין חדשה, ישראל"
20,"צבעון, ישראל"
20,"צוריאל, ישראל"
22,"אביבים, ישראל"
22,"ברעם, ישראל"
22,"יראון, ישראל"
23,"ג'יש, ישראל"
23,"דלתון, ישראל"
23,"כרם בן זמרה, ישראל"
23,"עלמה, ישראל"
23,"ריחאנייה, ישראל"
24,"דישון, ישראל"
24,"יפתח, ישראל"
24,"מלכיה, ישראל"
24,"מרכז כ''ח, ישראל"
24,"רמות נפתלי, ישראל"
25,"גונן, ישראל"
25,"כפר בלום, ישראל"
25,"כפר סאלד, ישראל"
25,"להבות הבשן, ישראל"
25,"נאות מרדכי, ישראל"
25,"עמיר, ישראל"
25,"שדה נחמיה, ישראל"
25,"שמיר, ישראל"
26,"בית הלל, ישראל"
26,"יובל, ישראל"
26,"כפר גלעדי, ישראל"
26,"מטולה, ישראל"
26,"מנרה, ישראל"
26,"מעיין ברוך, ישראל"
26,"מרגליות, ישראל"
26,"משגב עם, ישראל"
26,"קרית שמונה, ישראל"
26,"תל חי, ישראל"
28,"דן, ישראל"
28,"דפנה, ישראל"
28,"הגושרים, ישראל"
28,"ע'ג'ר, ישראל"
28,"שאר ישוב, ישראל"
28,"שניר, ישראל"
29,"גשר הזיו, ישראל"
29,"נהריה, ישראל"
29,"סער, ישראל"
29,"עברון, ישראל"
29,"שבי ציון, ישראל"
30,"בן עמי, ישראל"
30,"כברי, ישראל"
31,"געתון, ישראל"
31,"יחיעם, ישראל"
31,"מנות, ישראל"
31,"נווה זיו, ישראל"
31,"עבדון, ישראל"
31,"עין יעקב, ישראל"
32,"הילה, ישראל"
32,"חוסן, ישראל"
32,"כפר ורדים, ישראל"
32,"מעונה, ישראל"
32,"מעיליא, ישראל"
32,"מעלות תרשיחא, ישראל"
35,"לוחמי הגיטאות, ישראל"
35,"מזרעה, ישראל"
35,"רגבה, ישראל"
37,"בוסתן הגליל, ישראל"
37,"בית העמק, ישראל"
37,"ג'דידה מכר, ישראל"
37,"כפר מסריק, ישראל"
37,"נס עמים, ישראל"
37,"נתיב השיירה, ישראל"
37,"עין המפרץ, ישראל"
37,"עכו, ישראל"
37,"שייח' דנון, ישראל"
37,"שמרת, ישראל"
38,"אשרת, ישראל"
38,"ג'וליס, ישראל"
38,"גיתה, ישראל"
38,"טל אל, ישראל"
38,"ירכא, ישראל"
38,"כליל, ישראל"
38,"כפר יאסיף, ישראל"
38,"לפידות, ישראל"
38,"עמקה, ישראל"
40,"כישור, ישראל"
40,"פלך, ישראל"
40,"תובל, ישראל"
41,"יאנוח ג'ת, ישראל"
41,"כיסרא סומיע, ישראל"
41,"מגדל תפן, ישראל"
42,"ביענה, ישראל"
42,"גילון, ישראל"
42,"דייר אל אסד, ישראל"
42,"כרמיאל, ישראל"
42,"לבון, ישראל"
42,"מג'ד אל כרום, ישראל"
42,"נחף, ישראל"
42,"סאג'ור, ישראל"
42,"עין אל אסד, ישראל"
42,"צורית, ישראל"
